docname,from,to,pre,keyword,post,pattern
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2069,56,56,"this horrible storm , many Americans in this region felt helpless , and abandoned , and left behind by their government . And yet , in North Carolina’s hour of desperation , the American people answered the call , much more so than your federal government , unfortunately , ”",Trump,said .,trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2070,1,1,,Trump,"also brought up Adam Smith , a former Army Green Beret , who has used his helicopter to help rescue those in western North Carolina who were trapped after Helene came through . Smith thanked Trump for coming and visiting , saying it would help people not to forget about",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2070,37,37,"Trump also brought up Adam Smith , a former Army Green Beret , who has used his helicopter to help rescue those in western North Carolina who were trapped after Helene came through . Smith thanked",Trump,"for coming and visiting , saying it would help people not to forget about the region .",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2074,1,1,,Trump,"was accompanied at the event by Senator Ted Budd , who said it would take years to rebuild the region after Helene . The former president has raised around $ 8 million for those impacted by the storm , of which $ 7 million has already been distributed .",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2079,20,20,‘ The Interview Was Fire ’ : Podcast Host Talks To Charlamagne Tha God About His Sit Down With,Trump,,trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2086,19,19,Podcaster and comedian Andrew Schulz talked to Charlamagne Tha God about getting the chance to interview former President,Donald,Trump on his “ Flagrant ” podcast .,donald
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2086,20,20,Podcaster and comedian Andrew Schulz talked to Charlamagne Tha God about getting the chance to interview former President Donald,Trump,on his “ Flagrant ” podcast .,trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2087,20,20,During the recent “ Brilliant Idiots ” podcast — hosted by Schulz and Charlamagne — the podcasters talked about,Trump’s,"recent stop on “ Flagrant , ” and Schulz labeled the former president “ just pure entertainment . ”",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2087,37,37,"During the recent “ Brilliant Idiots ” podcast — hosted by Schulz and Charlamagne — the podcasters talked about Trump’s recent stop on “ Flagrant , ” and Schulz labeled the former president “ just pure",entertainment,. ”,men
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2091,2,2,“,Trump,"had that line on the pod where he goes ‘ yo , they lie about me all the time , it’s hard for me to do that about them . ’ He’s like ‘ I’m basically truthful , ’ ” Schulz continued , before playing the clip from the show",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2092,8,8,Charlamagne tha God appeared to agree that,Trump’s,appearance on the podcast helped the Republican nominee .,trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2093,6,6,“ I had a young,black,"man — 20 something years old — not going to say his name … he [ came ] to me this morning … he goes ‘ Flagrant’s ’ going to get Trump elected , ” the podcast host said .",black
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2093,38,38,“ I had a young black man — 20 something years old — not going to say his name … he [ came ] to me this morning … he goes ‘ Flagrant’s ’ going to get,Trump,"elected , ” the podcast host said .",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2094,29,29,"“ The interview was fire bro , ” Schulz replied . “ The interview was fire . I don’t know what to tell you … there’s so many",moments,where he’s just having fun and that is infectious . ”,men
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2096,40,40,"At one point in the interview , the two also talked about how both sides of the political aisle have used the same clips from the “ Flagrant ” podcast to promote their agenda . One part was from",Trump’s,"appearance when he hit back at the New York Times headline that read , “ Trump’s Speeches , Increasingly Angry and Rambling , Reignite the Question of Age . ”",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2096,56,56,"interview , the two also talked about how both sides of the political aisle have used the same clips from the “ Flagrant ” podcast to promote their agenda . One part was from Trump’s appearance when he hit back at the New York Times headline that read , “",Trump’s,"Speeches , Increasingly Angry and Rambling , Reignite the Question of Age . ”",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2097,1,1,,Trump,"said what he does is called “ The Weave ” and then described it , saying it actually takes a great deal of memory to do it , as previously reported .",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2098,4,4,Schulz said when,Trump,"explained “ he doesn’t ramble , he weaves , ” [ Vice President ] Kamala’s [ Harris ] headquarters “ saw the video and said “ yo , make a video out of that . Look how ridiculous this is . ’ ”",trump
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2098,19,19,"Schulz said when Trump explained “ he doesn’t ramble , he weaves , ” [ Vice President ]",Kamala’s,"[ Harris ] headquarters “ saw the video and said “ yo , make a video out of that . Look how ridiculous this is . ’ ”",kamala
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2098,21,21,"Schulz said when Trump explained “ he doesn’t ramble , he weaves , ” [ Vice President ] Kamala’s [",Harris,"] headquarters “ saw the video and said “ yo , make a video out of that . Look how ridiculous this is . ’ ”",harris
the_interview_was_fire_podcast_host_talks_to_charlamagne_tha_god_about_his_sit_down_with_trump.txt_2099,4,4,“ But then,Trump’s,"team is also like ‘ yo , make a video out of that , that s * * t is fire , ’ ” he added . “ So the same piece of content was used to support the candidate and to try to trash the candidate . ”",trump
the_new_republic_claims_republicans_cheat_to_win_elections_here_are_its_absurd_examples.txt_2114,104,104,"left-wing voting group is demanding an investigation , and the New Republic deems this cheating by the GOP , even though the text is clearly trying to prevent cheating . The New Republic and CNN insist the text is meant to scare young voters into not voting , a grim",assessment,of the intelligence of young voters .,men
the_new_republic_claims_republicans_cheat_to_win_elections_here_are_its_absurd_examples.txt_2115,25,25,"Tomasky then starts playing the hits , repeating the frequently-debunked claim that Russia is trying to skew the election in favor of former President",Donald,"Trump . Earlier claims about Russian disinformation have been proven false , including the 2016 Russia collusion hoax and the claim that the Hunter Biden laptop was a Russian disinformation operation .",donald
